,node, cf,filename,symptom
0,db_rt[3],0.865,Mori/CaseA/Mori:DBCI_db_rt[3].csv,db_rt[3]
1,db_rt[1],0.667,Mori/CaseA/Mori:DBCI_db_rt[3].csv,db_rt[3]
2,odr_qt[1],0.5,Mori/CaseA/Mori:DBCI_db_rt[3].csv,db_rt[3]
3,odr_qt[2],0.3425,Mori/CaseA/Mori:DBCI_db_rt[3].csv,db_rt[3]
4,db_rt[2],0.4035,Mori/CaseA/Mori:DBCI_db_rt[3].csv,db_rt[3]
5,login_rt[2],0.75,Mori/CaseA/Mori:DBCI_login_rt[2].csv,login_rt[2]
6,db_rt[1],0.667,Mori/CaseA/Mori:DBCI_login_rt[2].csv,login_rt[2]
7,odr_qt[1],0.5,Mori/CaseA/Mori:DBCI_login_rt[2].csv,login_rt[2]
8,db_rt[2],0.4035,Mori/CaseA/Mori:DBCI_login_rt[2].csv,login_rt[2]
9,odr_qt[2],0.3425,Mori/CaseA/Mori:DBCI_login_rt[2].csv,login_rt[2]
10,login_rt[1],0.11199999999999999,Mori/CaseA/Mori:DBCI_login_rt[2].csv,login_rt[2]
11,es_rt[2],0.75,Mori/CaseA/Mori:DBCI_es_rt[2].csv,es_rt[2]
12,db_rt[1],0.667,Mori/CaseA/Mori:DBCI_es_rt[2].csv,es_rt[2]
13,odr_qt[1],0.5,Mori/CaseA/Mori:DBCI_es_rt[2].csv,es_rt[2]
14,db_rt[2],0.4035,Mori/CaseA/Mori:DBCI_es_rt[2].csv,es_rt[2]
15,odr_qt[2],0.3425,Mori/CaseA/Mori:DBCI_es_rt[2].csv,es_rt[2]
16,login_rt[1],0.11199999999999999,Mori/CaseA/Mori:DBCI_es_rt[2].csv,es_rt[2]
17,db_rt[1],0.667,Mori/CaseA/Mori:DBCI_wcs_rt[2].csv,wcs_rt[2]
18,wcs_rt[2],0.5,Mori/CaseA/Mori:DBCI_wcs_rt[2].csv,wcs_rt[2]
19,odr_qt[1],0.5,Mori/CaseA/Mori:DBCI_wcs_rt[2].csv,wcs_rt[2]
20,db_rt[2],0.4035,Mori/CaseA/Mori:DBCI_wcs_rt[2].csv,wcs_rt[2]
21,odr_qt[2],0.3425,Mori/CaseA/Mori:DBCI_wcs_rt[2].csv,wcs_rt[2]
22,login_rt[1],0.11199999999999999,Mori/CaseA/Mori:DBCI_wcs_rt[2].csv,wcs_rt[2]
23,odr_qt[1],0.5,Mori/CaseA/Mori:DBCI_odr_qt[2].csv,odr_qt[2]
24,odr_qt[1],0.5,Mori/CaseA/Mori:DBCI_odr_qt[2].csv,odr_qt[2]
25,odr_qt[2],0.3425,Mori/CaseA/Mori:DBCI_odr_qt[2].csv,odr_qt[2]
26,db_rt[1],0.667,Mori/CaseA/Mori:DBCI_odr_qt[2].csv,odr_qt[2]
27,db_rt[1],0.667,Mori/CaseA/Mori:DBCI_odr_qt[2].csv,odr_qt[2]
28,db_rt[2],0.4035,Mori/CaseA/Mori:DBCI_odr_qt[2].csv,odr_qt[2]
29,db_rt[1],0.667,Mori/CaseA/Mori:DBCI_solr_rt[2].csv,solr_rt[2]
30,odr_qt[1],0.5,Mori/CaseA/Mori:DBCI_solr_rt[2].csv,solr_rt[2]
31,db_rt[2],0.4035,Mori/CaseA/Mori:DBCI_solr_rt[2].csv,solr_rt[2]
32,odr_qt[2],0.3425,Mori/CaseA/Mori:DBCI_solr_rt[2].csv,solr_rt[2]
33,solr_rt[2],0.375,Mori/CaseA/Mori:DBCI_solr_rt[2].csv,solr_rt[2]
34,login_rt[1],0.11199999999999999,Mori/CaseA/Mori:DBCI_solr_rt[2].csv,solr_rt[2]
